sgRNA	gene	Control_1	ToxA_2	ToxA_1	ToxB_2	ToxB_1	Control_2	Variance
HGLibA_56745	ZNF784	0.0	14.9581023553	26.3052519897	35444.9130981	34889.9140222	136.959790392	274164321.515
HGLibA_62457	hsa-mir-590	0.0	14.9581023553	8.7684173299	19712.6638246	18866.6484435	71.4572819436	82543139.6029
HGLibB_02299	AP1S3	8.90030765397	2.99162047106	11.6912231065	13979.5099115	13805.4833046	47.6381879624	42782074.3324
HGLibB_42984	SCP2D1	14.8338460899	14.9581023553	8.7684173299	13973.8559135	13546.2254022	151.84672413	41802320.3155
HGLibB_51676	TRPC5	2.96676921799	2.99162047106	8.7684173299	13513.0550812	12681.0930539	44.6608012148	38090029.6759
HGLibB_00250	ABHD14B	68.2356920138	5.98324094212	11.6912231065	13210.5661914	12898.0806461	56.5703482054	37672326.2994
HGLibB_35715	PDE11A	5.93353843598	38.8910661238	46.7648924261	11760.3157192	11858.2310157	172.688431364	30648556.4932
HGLibA_02011	ANKRD16	2.96676921799	14.9581023553	14.6140288832	10937.6590187	10714.1146202	11.9095469906	25995147.1202
HGLibA_27301	LRRC29	53.4018459238	11.9664818842	14.6140288832	10423.145206	9806.71196165	50.6155747101	22621328.4396
HGLibA_39953	RAB44	0.0	2.99162047106	8.7684173299	9190.57365463	8437.15391184	77.4120554389	17223922.1837
HGLibA_04839	BRPF1	0.0	0.0	5.84561155327	8769.35080796	8544.23869762	23.8190939812	16629119.8217
HGLibA_18125	FTL	2.96676921799	50.857548008	75.9929501925	8690.19483677	8609.05317323	68.479895196	16436832.4521
HGLibA_39135	PSMC3IP	0.0	59.8324094212	46.7648924261	8743.90781722	8468.1521393	17.8643204859	16346518.9724
HGLibB_10274	CNIH1	17.8006153079	0.0	8.7684173299	8546.01788925	8637.23338002	53.5929614577	16328096.9878
HGLibA_43842	SGOL1	2.96676921799	2.99162047106	2.92280577663	8642.13585426	8338.52318808	110.163309663	15916055.5159
HGLibB_44178	SIRT6	29.6676921799	8.97486141318	8.7684173299	8489.47790983	8279.34475383	116.118083158	15474869.4389
HGLibA_47689	STYXL1	11.867076872	89.7486141318	102.298202182	8172.85402508	8144.07976126	83.3668289342	14532866.4596
HGLibA_60293	hsa-mir-4472-1	2.96676921799	0.0	2.92280577663	8333.99296643	7800.28123846	59.547734953	14427491.2078
HGLibB_00899	ADCK5	0.0	116.673198371	93.5297848523	7774.24717017	7679.10634928	86.3442156819	13015696.7321
HGLibB_21699	HMGN4	5.93353843598	2.99162047106	14.6140288832	7712.05319281	7414.21240549	74.4346686913	12637088.4099
HGLibA_03500	ATG5	0.0	2.99162047106	11.6912231065	7596.146235	7281.76543359	38.7060277195	12261649.9904
HGLibB_44908	SLC35B2	2.96676921799	6725.16281894	7906.18962579	5.65399794194	30.998227465	5.9547734953	11972443.2138
HGLibA_25094	KLHDC10	0.0	77.7821322476	43.8420866495	7169.26939039	7002.78138641	56.5703482054	11021158.8154
HGLibB_43525	SERPINE1	0.0	5.98324094212	8.7684173299	6502.09763324	6498.35568493	35.7286409718	9353246.34652
