gene	SigmaFC	p_value	significant	# sgRNAs	# signif. sgRNAs
HBEGF	45.9084304951	0.0	True	6	5
TAS2R4	20.4496036618	0.0	True	6	4
GH1	16.4529477528	0.0	True	6	4
DEPDC4	13.8334363777	0.0	True	6	3
OR4P4	13.8114632168	0.0	True	6	3
PQLC2	13.0591412903	0.0	True	6	3
PLEKHM2	12.6812650524	0.0	True	6	3
C15orf39	12.0421362608	0.0001	True	6	3
UPB1	11.0741681477	0.0002	True	6	3
RSAD1	11.0456714856	0.0002	True	6	3
ATP2B2	10.3118774565	0.0002	True	6	3
STEAP4	9.60086009403	0.0002	True	6	3
DCAF13	8.73549424418	0.0003	True	6	3
SBSPON	8.30039996637	0.0003	True	6	2
FMO4	7.74342444749	0.0005	True	6	2
GRK7	7.67716483443	0.0005	True	6	2
EXT1	7.66201924659	0.0005	True	6	2
RP1	7.44249299841	0.0005	True	6	2
NUDT2	7.35439948691	0.0006	True	6	2
PRAMEF1	7.30588825877	0.0006	True	6	2
ALPK1	7.23664525247	0.0007	True	6	2
HIST1H1C	7.18697111525	0.0007	True	6	2
PARN	7.14188696597	0.0007	True	6	2
hsa-mir-501	7.07761050934	0.0008	True	4	2
hsa-mir-1208	6.86110361363	0.0009	True	4	2
PKD2L1	6.80233131508	0.0009	True	6	2
ADRA1A	6.75569083717	0.001	True	6	2
SETDB1	6.71088295825	0.0012	True	6	2
PRR14	6.69151536137	0.0012	True	6	2
DMD	6.6680914998	0.0012	True	6	2
SLC19A3	6.66246215622	0.0012	True	6	2
MAPK10	6.66014267377	0.0012	True	6	2
GALNT13	6.62364020956	0.0012	True	6	2
EXT2	6.61902204068	0.0012	True	6	2
B3GAT3	6.60702968227	0.0012	True	6	2
GPSM1	6.55196478843	0.0012	True	6	2
TYRP1	6.53941178171	0.0012	True	6	2
KCNH6	6.53816786229	0.0012	True	6	2
RAD51	6.51139558502	0.0012	True	6	2
FAM177A1	6.46712349457	0.0012	True	6	2
CD52	6.45816461048	0.0012	True	6	2
CCDC86	6.43574775758	0.0013	True	6	2
RIBC1	6.41498227805	0.0014	True	6	2
OR4K5	6.41191406036	0.0014	True	6	2
MOGAT1	6.37582389635	0.0014	True	6	2
APAF1	6.35484233589	0.0015	True	6	2
HAUS2	6.28969753218	0.0016	True	6	2
ERC2	6.2589451896	0.0016	True	6	2
SYTL1	6.25885828096	0.0016	True	6	2
ZNF81	6.1231155617	0.0019	True	6	2
MPZL3	6.09940323516	0.0021	True	6	2
TMEM237	6.09256618337	0.0021	True	6	2
LDOC1L	6.07456217856	0.0021	True	6	2
HDLBP	5.96846436424	0.0021	True	6	2
