gene	SigmaFC	p_value	significant	# sgRNAs	# signif. sgRNAs
HBEGF	51.0954141735	0.0	True	6	5
HAUS2	26.1242608068	0.0	True	6	4
TAS2R4	24.0027473242	0.0	True	6	4
DEPDC4	17.8445920415	0.0	True	6	3
MAPK10	16.9980878136	0.0	True	6	3
OR4P4	16.7500642245	0.0	True	6	3
PIWIL3	16.1873855548	0.0001	True	6	3
NEURL4	15.9843230794	0.0001	True	6	3
PLEKHM2	15.6268900492	0.0001	True	6	3
KIAA2022	14.669417627	0.0003	True	6	3
PQLC2	14.6439215486	0.0003	True	6	3
DGCR8	14.251110469	0.0003	True	6	3
CLEC1A	13.811943691	0.0003	True	6	3
CSRP2	13.7421310661	0.0003	True	6	3
OR3A2	13.3737178108	0.0003	True	6	3
RSAD1	13.1098170534	0.0004	True	6	3
UPB1	11.9581277699	0.0004	True	6	3
BCKDK	11.858302728	0.0006	True	6	3
ATP2B2	11.7675224038	0.0006	True	6	3
GH1	10.9799369804	0.0007	True	6	3
METTL20	10.6328225746	0.0007	True	6	3
SBSPON	9.88147207885	0.0007	True	6	2
EFS	9.75861065569	0.0007	True	6	3
GRK7	9.50399916462	0.0008	True	6	2
FMO4	9.18474330927	0.0008	True	6	2
DCAF13	8.95313420353	0.001	True	6	3
PKD2L1	8.94922781029	0.001	True	6	2
HS6ST1	8.80731788159	0.0011	True	6	2
ALPK1	8.78850466191	0.0011	True	6	2
PRAMEF1	8.68271996105	0.0012	True	6	2
PCDH7	8.52934771166	0.0012	True	6	2
NUDT2	8.458575263	0.0012	True	6	2
RP1	8.42090474039	0.0013	True	6	2
EXT1	8.3949777166	0.0013	True	6	2
GALNT13	8.35301067895	0.0014	True	6	2
APAF1	8.3204401526	0.0014	True	6	2
FAM177A1	8.31446521047	0.0014	True	6	2
ANKRD53	8.23494946324	0.0015	True	6	2
hsa-mir-501	8.22494791096	0.0015	True	4	2
HIST1H1C	8.17525460984	0.0016	True	6	2
SLC19A3	8.1600898517	0.0016	True	6	2
PARN	8.15868039926	0.0016	True	6	2
FOXF1	8.14041284072	0.0016	True	6	2
ERC2	8.0300076138	0.0017	True	6	2
hsa-mir-1208	7.99737072814	0.0019	True	4	2
ADRA1A	7.98381130225	0.0019	True	6	2
DIO2	7.97501465725	0.0019	True	6	2
SETDB1	7.91428356051	0.0019	True	6	2
B3GAT3	7.88371700218	0.0019	True	6	2
DMD	7.87723337424	0.0019	True	6	2
CYP39A1	7.87445321876	0.0019	True	6	2
PKM	7.83397138169	0.002	True	6	2
hsa-mir-3671	7.81150917922	0.002	True	3	2
OR4K5	7.80214066231	0.002	True	6	2
KCNH6	7.7750274548	0.002	True	6	2
SYTL1	7.75426257802	0.002	True	6	2
RAD51	7.70635296947	0.0021	True	6	2
PRR14	7.6899233166	0.0021	True	6	2
CCDC86	7.6528836307	0.0023	True	6	2
GPSM1	7.64388909204	0.0023	True	6	2
PTPLAD2	7.58029085583	0.0024	True	6	2
BCR	7.54121305975	0.0027	True	6	2
ADAP1	7.53666307339	0.0027	True	6	2
NUDT3	7.50659298234	0.0029	True	6	2
CSGALNACT2	7.48851708711	0.003	True	6	2
CHRNE	7.46222597601	0.003	True	6	2
GLP1R	7.43511415921	0.003	True	6	2
TMEM237	7.42202709525	0.003	True	6	2
MOGAT1	7.40455192308	0.003	True	6	2
RIBC1	7.39797185487	0.003	True	6	2
CACNB1	7.3622038466	0.0031	True	6	2
TYRP1	7.35697977171	0.0031	True	6	2
LDOC1L	7.34281463546	0.0032	True	6	2
BEAN1	7.32448602048	0.0032	True	6	2
NKX2-4	7.32308532131	0.0032	True	6	2
GRM1	7.28127226692	0.0032	True	6	2
GALNT1	7.24327607856	0.0033	True	6	2
MPZL3	7.24073088111	0.0033	True	6	2
NHP2L1	7.19186631397	0.0035	True	6	2
ATP6V1G1	7.17824239887	0.0035	True	6	2
ZNF81	7.16599100389	0.0036	True	6	2
