gene	aRRA	p_value	p_value (adj.)	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
HBEGF	8.60696709733e-09	0.0	0.0	True	6	5	5.64444860056
DEPDC4	3.31275176186e-07	0.0	0.0	True	6	3	2.94999888753
OR4P4	2.52548888879e-06	0.0	0.0	True	6	3	2.14175615028
HAUS2	2.97068675365e-06	0.0	0.0	True	6	4	3.0170995684
TAS2R4	4.71450699257e-06	0.0	0.0	True	6	4	2.43235295351
GH1	4.74765509486e-06	0.0	0.0	True	6	4	1.79941536942
NEURL4	5.64428952261e-06	0.0	0.0	True	6	3	1.70020283972
KIAA2022	5.95676640205e-06	0.0	0.0	True	6	3	2.92549749727
OR3A2	6.50480406945e-06	0.0	0.0	True	6	4	2.09652967687
GRK7	7.943232938e-06	0.0	0.0	True	6	2	1.10754298011
PRDM13	8.16920048035e-06	0.0	0.0	True	6	1	0.844655210223
FMO4	8.36306808535e-06	0.0	0.0	True	6	2	2.19874126667
PKD2L1	1.12182941137e-05	0.0	0.0	True	6	2	0.0816118652102
PIWIL3	1.41890545173e-05	0.0	0.0	True	6	3	2.59573745479
PQLC2	1.54073645928e-05	0.0	0.0	True	6	3	1.83748668798
MOGAT1	1.96769946527e-05	0.0	0.0	True	6	2	0.895555177944
RIBC1	2.11531913558e-05	0.0	0.0	True	6	2	0.693585190457
CYP39A1	2.17984938219e-05	0.0	0.0	True	6	3	1.66658937276
MAPK10	2.41236957279e-05	0.0	0.0	True	6	3	2.79392369142
NonTargetingControlGuideForHuman_0017	2.4507601441e-05	0.0	0.0	True	1	1	11.1121553532
LEPROTL1	2.46077345303e-05	0.0	0.0	True	6	3	0.465870605888
CLEC1A	2.60986119076e-05	0.0	0.0	True	6	3	0.82838230708
PLEKHM2	2.65322549302e-05	0.0	0.0	True	6	3	1.84168354244
RSAD1	2.69706750242e-05	0.0	0.0	True	6	3	1.59229771099
PRAMEF1	2.80226446847e-05	0.0	0.0	True	6	2	2.5270864532
ERC2	2.80226446847e-05	0.0	0.0	True	6	2	1.20541570657
APAF1	3.05869692018e-05	0.0	0.0	True	6	2	0.759890771825
GALNT13	3.05869692018e-05	0.0	0.0	True	6	2	1.5959015641
TYRP1	3.13058379288e-05	0.0	0.0	True	6	3	1.78825604645
PARN	3.20498187376e-05	0.0	0.0	True	6	2	0.0497453272022
SBSPON	3.26765349781e-05	0.0	0.0	True	6	2	1.05397995975
SLC35B2	3.26768019214e-05	0.0	0.0	True	6	1	0.59338672965
HIST1H1C	3.43081594443e-05	0.0	0.0	True	6	2	1.6933838713
DGCR8	3.76430176908e-05	0.0	0.0	True	6	3	1.69100258838
IQGAP3	4.08460024017e-05	0.0	0.0	True	6	1	0.519733167537
ZNF81	4.15971309254e-05	0.0	0.0	True	6	2	1.75150713116
BCKDK	4.2608808996e-05	0.0	0.0	True	6	3	1.59386203248
ACKR4	5.01645941939e-05	0.0	0.0	True	6	2	1.80142212776
UPB1	5.10496969547e-05	0.0	0.0	True	6	3	0.867168724606
hsa-mir-3174	5.34123195759e-05	0.0	0.0	True	4	3	2.15716913469
ATP2B2	5.54537863372e-05	0.0	0.0	True	6	3	0.504121008073
ALPK1	5.59339906781e-05	0.0	0.0	True	6	2	1.33962812156
C15orf39	5.64576669377e-05	0.0	0.0	True	6	3	0.264343491214
SLIT2	5.71844033624e-05	0.0	0.0	True	4	1	0.681071879972
OR4K5	5.77819059905e-05	0.0	0.0	True	6	2	1.14987551607
FAM177A1	5.77819059905e-05	0.0	0.0	True	6	2	1.01910580659
RP1	5.9407724439e-05	0.0	0.0	True	6	2	0.862221943189
ZBTB37	6.21000737416e-05	0.0	0.0	True	6	3	1.15702778287
AKIRIN1	6.53536038428e-05	0.001	0.413490566038	False	6	1	1.25508570102
DMD	6.64691600855e-05	0.001	0.413490566038	False	6	2	1.57996965516
GPSM1	6.7673408255e-05	0.001	0.413490566038	False	6	2	1.07503304529
DCAF13	7.07558650247e-05	0.001	0.413490566038	False	6	3	1.13431422999
CSRP2	7.0923698594e-05	0.001	0.413490566038	False	6	3	1.94405516184
STEAP4	7.33013090016e-05	0.002	0.509651162791	False	6	3	2.12268009655
EPHB4	7.35228043231e-05	0.002	0.509651162791	False	6	1	0.815804035539
ZNF75A	7.42786544072e-05	0.002	0.509651162791	False	6	2	0.0312913798032
SCGB2A2	7.51407906105e-05	0.002	0.509651162791	False	6	3	1.11286593855
EFS	7.51407906105e-05	0.002	0.509651162791	False	6	3	2.00625444902
KRTAP6-1	7.54803832988e-05	0.002	0.509651162791	False	6	2	-9.88252729697e-05
SCAF11	7.5797293191e-05	0.002	0.509651162791	False	6	3	1.7049550816
GLP1R	7.92161219537e-05	0.002	0.509651162791	False	6	2	1.0905547701
LLPH	8.16920048035e-05	0.002	0.509651162791	False	6	1	0.147523751693
EXT2	8.30420874596e-05	0.002	0.509651162791	False	6	2	0.944622049679
BCR	8.82581437556e-05	0.002	0.509651162791	False	6	2	1.18480798272
ASIP	8.98612052838e-05	0.002	0.509651162791	False	6	1	-0.203287282633
B3GAT3	9.18237727633e-05	0.002	0.509651162791	False	6	2	1.1891599403
METTL20	9.65134731343e-05	0.002	0.509651162791	False	6	3	1.61464498706
NUDT3	9.6668252374e-05	0.002	0.509651162791	False	6	3	2.17926350714
NUDT2	9.80280032741e-05	0.002	0.509651162791	False	6	2	1.73282309312
EN2	9.84862539941e-05	0.002	0.509651162791	False	6	3	0.444423681049
ATP6V1G1	9.94110534334e-05	0.002	0.509651162791	False	6	2	0.528022815168
OR7G1	0.000102282279379	0.002	0.509651162791	False	6	2	1.87140552318
KIAA2013	0.000105328905359	0.002	0.509651162791	False	6	3	1.10786403904
MRPL54	0.000106199606245	0.002	0.509651162791	False	6	1	-0.259697582969
FAM216A	0.000106792353944	0.002	0.509651162791	False	6	2	1.68291615477
ZNF121	0.000107308927426	0.002	0.509651162791	False	6	3	0.607794833576
PRSS2	0.000114368806725	0.002	0.509651162791	False	6	1	1.38062252128
SMPD1	0.000115942697219	0.002	0.509651162791	False	6	3	1.03842141754
GALNT1	0.000116280521497	0.002	0.509651162791	False	6	2	0.90123903269
MPZL3	0.000118760158237	0.002	0.509651162791	False	6	2	0.790412624623
ACAT1	0.00012232047795	0.002	0.509651162791	False	6	3	0.519056492483
TMEM17	0.000122538007205	0.002	0.509651162791	False	6	1	0.040252309472
SNTA1	0.000124343878941	0.002	0.509651162791	False	6	2	0.352010713188
KRTAP25-1	0.000124343878941	0.002	0.509651162791	False	6	2	1.2673537917
hsa-mir-3912	0.00012912590204	0.002	0.509651162791	False	4	2	2.42612865219
ABCB11	0.00012912590204	0.002	0.509651162791	False	6	2	1.67548811736
SPERT	0.000129994164385	0.003	0.65745	False	6	3	1.08646015059
UBE2G1	0.000130707207686	0.003	0.65745	False	6	1	0.505290801544
SLC27A4	0.000132017055884	0.003	0.65745	False	6	3	1.99914672015
KCNH6	0.000132489388199	0.003	0.65745	False	6	2	2.28975180571
GPR35	0.000135510409233	0.003	0.65745	False	6	3	0.868604057149
PAX4	0.000137198453819	0.003	0.65745	False	6	3	1.9161757477
CDK13	0.00013785141594	0.003	0.65745	False	6	3	1.80043075966
ZDHHC13	0.00013785141594	0.003	0.65745	False	6	3	1.67960535184
FOXF1	0.000139539028286	0.003	0.65745	False	6	2	1.07420760902
HS6ST1	0.000139539028286	0.003	0.65745	False	6	2	1.40559030946
CHRNE	0.000139539028286	0.003	0.65745	False	6	2	1.9806183725
CCDC86	0.000145192154259	0.003	0.65745	False	6	2	1.22256416077
NPY	0.000147045608646	0.003	0.65745	False	6	1	-0.123142383151
SDCBP2	0.00014736580719	0.003	0.65745	False	6	2	0.609525563718
OR8K1	0.000155214809127	0.004	0.674307692308	False	6	1	0.965809883658
GAST	0.000163384009607	0.004	0.674307692308	False	6	1	-0.266478903804
TBATA	0.000163555537391	0.004	0.674307692308	False	6	2	1.0396914018
ADRA1A	0.000165756869009	0.004	0.674307692308	False	6	2	1.62227999704
SLC22A1	0.000165967287102	0.004	0.674307692308	False	6	2	0.647704152401
ETV5	0.000166177838666	0.004	0.674307692308	False	6	2	-0.0703586735123
CXorf57	0.000171271117706	0.004	0.674307692308	False	6	2	1.33674920521
TXNL1	0.000173308446007	0.004	0.674307692308	False	6	2	0.483954661061
BEAN1	0.000173308446007	0.004	0.674307692308	False	6	2	1.31333200938
PASD1	0.000178706962926	0.004	0.674307692308	False	6	3	0.988400645465
PCDH7	0.000179602169274	0.004	0.674307692308	False	6	2	1.47677297283
ZNF154	0.000179602169274	0.004	0.674307692308	False	6	2	0.418500885648
TGFBR1	0.000179602169274	0.004	0.674307692308	False	6	2	1.52091031221
CSGALNACT2	0.000179602169274	0.004	0.674307692308	False	6	2	-0.244533186952
GRID1	0.000179722410568	0.004	0.674307692308	False	6	1	-0.117236837469
hsa-mir-501	0.000184784590709	0.004	0.674307692308	False	4	2	2.28478550642
MED13L	0.000186675818861	0.004	0.674307692308	False	6	3	1.18208604473
MMP14	0.000186795919105	0.004	0.674307692308	False	6	2	-0.266426805538
GREB1L	0.000189977127048	0.004	0.674307692308	False	6	3	1.28800681401
hsa-mir-1208	0.000191168557511	0.004	0.674307692308	False	4	2	1.55770260503
FN1	0.000196051201568	0.004	0.674307692308	False	6	2	1.73488504666
MAP4	0.000196060811528	0.004	0.674307692308	False	6	1	1.14565644278
INHA	0.000201469233873	0.004	0.674307692308	False	6	2	0.445712501437
ZFYVE27	0.000201469233873	0.004	0.674307692308	False	6	2	-0.166674433613
PTPLAD2	0.000201469233873	0.004	0.674307692308	False	6	2	0.0994405003989
NME8	0.000201469233873	0.004	0.674307692308	False	6	2	1.28384399089
DNAJC3	0.000201469233873	0.004	0.674307692308	False	6	2	1.59012218098
GHSR	0.000201469233873	0.004	0.674307692308	False	6	2	0.429963669426
MFSD2B	0.000201469233873	0.004	0.674307692308	False	6	2	0.859299751039
DKK4	0.000204230012009	0.004	0.674307692308	False	6	1	1.21658294229
TRAK2	0.000216584633894	0.005	0.746603206413	False	6	2	0.109598809551
RPP25	0.000216584633894	0.005	0.746603206413	False	6	2	0.293855368688
SPINK1	0.000216584633894	0.005	0.746603206413	False	6	2	0.661816136788
LDOC1L	0.000222272045403	0.005	0.746603206413	False	6	2	1.2311511543
C8orf44-SGK3	0.000225204685002	0.005	0.746603206413	False	6	2	1.31891868469
IFI16	0.00022873761345	0.005	0.746603206413	False	6	1	0.116095983925
EXT1	0.000244479796447	0.006	0.746603206413	False	6	2	1.1852626502
ARHGAP27	0.000248455533854	0.006	0.746603206413	False	6	2	2.22448863953
DCAF8L2	0.000249160614651	0.006	0.746603206413	False	6	1	-1.05843754366
PCDHGA1	0.000249160614651	0.006	0.746603206413	False	6	1	0.639318410344
CD52	0.000257157803512	0.006	0.746603206413	False	6	2	1.25241582461
PGC	0.000261414415371	0.006	0.746603206413	False	6	1	1.29605638179
POU3F2	0.000266143116537	0.007	0.746603206413	False	6	2	0.685969916521
hsa-mir-3671	0.000266143116537	0.007	0.746603206413	False	3	2	3.3936813677
PKM	0.000266143116537	0.007	0.746603206413	False	6	2	0.522939647882
XKR7	0.000266143116537	0.007	0.746603206413	False	6	2	1.35358645235
HOXC11	0.000266143116537	0.007	0.746603206413	False	6	2	2.27071730184
CYYR1	0.000275418279984	0.007	0.746603206413	False	6	2	0.794684888104
HDLBP	0.000278954478488	0.007	0.746603206413	False	6	2	0.919473913438
HIST1H2AA	0.000278954478488	0.007	0.746603206413	False	6	2	-0.225200578448
CLEC19A	0.000284025651283	0.007	0.746603206413	False	6	2	0.575191361989
RNF151	0.000285922016812	0.007	0.746603206413	False	6	1	0.469002821002
TNKS	0.000286647518775	0.007	0.746603206413	False	6	2	0.801443096505
AK5	0.000294091217293	0.007	0.746603206413	False	6	1	1.06630120106
FAM160B1	0.000299230560744	0.007	0.746603206413	False	6	2	0.970362379661
HPCAL1	0.000302260417773	0.007	0.746603206413	False	6	1	-0.239294394846
SPEN	0.000303627301176	0.008	0.746603206413	False	6	2	0.757052316397
PRR19	0.000303627301176	0.008	0.746603206413	False	6	2	1.20979770891
hsa-mir-548ah	0.000310429618253	0.008	0.746603206413	False	2	1	4.7083886279
CNGB3	0.000317009921887	0.008	0.746603206413	False	6	2	0.839490494553
ADAP1	0.000317009921887	0.008	0.746603206413	False	6	2	0.404734118458
DEFB128	0.000317009921887	0.008	0.746603206413	False	6	2	0.0550522039618
SRSF2	0.000317009921887	0.008	0.746603206413	False	6	2	0.963796041395
NKX2-4	0.000317009921887	0.008	0.746603206413	False	6	2	0.280580154756
C20orf144	0.000317009921887	0.008	0.746603206413	False	6	2	0.951878939486
ZKSCAN2	0.000318598818734	0.008	0.746603206413	False	6	1	0.323877316432
TGFB3	0.000327716735865	0.008	0.746603206413	False	6	2	1.11430279505
FBXO15	0.000330978316402	0.008	0.746603206413	False	6	2	0.960544619187
FAM20A	0.000334937219694	0.008	0.746603206413	False	6	1	0.089250281259
SP7	0.000335451953201	0.008	0.746603206413	False	6	2	0.407048987077
CCS	0.000342974750369	0.008	0.746603206413	False	6	2	0.763051991858
PRR14	0.000343076989671	0.008	0.746603206413	False	6	2	-0.314992435742
ZNF396	0.000343106420175	0.008	0.746603206413	False	6	1	-0.177973944115
SLC19A3	0.000345096082404	0.008	0.746603206413	False	6	2	1.56902218255
TTBK2	0.00034722395455	0.008	0.746603206413	False	6	2	0.898515272757
