gene	aRRA	p_value	p_value (adj.)	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
HBEGF	8.60696709733e-09	0.0	0.0	True	6	5	7.07641020196
DEPDC4	3.31275176186e-07	0.0	0.0	True	6	3	3.16020403192
OR4P4	2.52548888879e-06	0.0	0.0	True	6	3	2.73515717737
HAUS2	2.97068675365e-06	0.0	0.0	True	6	4	4.04155548427
TAS2R4	4.71450699257e-06	0.001	0.819252336449	False	6	4	3.37977750726
GH1	4.74765509486e-06	0.001	0.819252336449	False	6	4	3.66086877414
NEURL4	5.64428952261e-06	0.001	0.819252336449	False	6	3	2.52548727316
OR3A2	6.50480406945e-06	0.001	0.819252336449	False	6	4	3.45770747169
GRK7	7.943232938e-06	0.001	0.819252336449	False	6	2	-0.993982232805
PRDM13	8.16920048035e-06	0.002	0.819252336449	False	6	1	0.0
FMO4	8.36306808535e-06	0.002	0.819252336449	False	6	2	1.6332930477
PKD2L1	1.12182941137e-05	0.002	0.819252336449	False	6	2	-1.88084271985
PQLC2	1.19820377904e-05	0.002	0.819252336449	False	6	4	3.49722134331
PIWIL3	1.41890545173e-05	0.002	0.819252336449	False	6	3	3.07463891854
KIAA2022	1.47220365896e-05	0.002	0.819252336449	False	6	4	3.72489108402
MOGAT1	1.96769946527e-05	0.002	0.819252336449	False	6	2	-0.237205521077
RIBC1	2.11531913558e-05	0.002	0.819252336449	False	6	2	-1.31384810167
CYP39A1	2.17984938219e-05	0.002	0.819252336449	False	6	3	1.45000764642
MAPK10	2.41236957279e-05	0.002	0.819252336449	False	6	3	2.07419312993
NonTargetingControlGuideForHuman_0017	2.4507601441e-05	0.002	0.819252336449	False	1	1	11.1121553532
LEPROTL1	2.46077345303e-05	0.002	0.819252336449	False	6	3	0.534010072033
CLEC1A	2.60986119076e-05	0.002	0.819252336449	False	6	3	0.809168470566
PLEKHM2	2.65322549302e-05	0.002	0.819252336449	False	6	3	1.36660348417
RSAD1	2.69706750242e-05	0.002	0.819252336449	False	6	3	2.0134381253
PRAMEF1	2.80226446847e-05	0.003	0.819252336449	False	6	2	0.0
ERC2	2.80226446847e-05	0.003	0.819252336449	False	6	2	0.329789097111
APAF1	3.05869692018e-05	0.003	0.819252336449	False	6	2	-0.657694245067
TYRP1	3.13058379288e-05	0.003	0.819252336449	False	6	3	1.9823854692
PARN	3.20498187376e-05	0.003	0.819252336449	False	6	2	-1.8807062327
SBSPON	3.26765349781e-05	0.003	0.819252336449	False	6	2	-2.05515562135
SLC35B2	3.26768019214e-05	0.003	0.819252336449	False	6	1	-0.656153856598
HIST1H1C	3.43081594443e-05	0.003	0.819252336449	False	6	2	0.0505893126183
DGCR8	3.76430176908e-05	0.003	0.819252336449	False	6	3	1.89247795649
IQGAP3	4.08460024017e-05	0.003	0.819252336449	False	6	1	-0.995910425877
ZNF81	4.15971309254e-05	0.003	0.819252336449	False	6	2	0.486653665591
BCKDK	4.2608808996e-05	0.003	0.819252336449	False	6	3	1.83687352466
ARHGAP27	4.62665449699e-05	0.003	0.819252336449	False	6	3	2.32211023389
TM9SF3	4.62665449699e-05	0.003	0.819252336449	False	6	3	1.83287960468
EXOC1	4.62665449699e-05	0.003	0.819252336449	False	6	3	1.83287960468
C20orf144	4.62665449699e-05	0.003	0.819252336449	False	6	3	0.836969178798
ACKR4	5.01645941939e-05	0.003	0.819252336449	False	6	2	0.0
UPB1	5.10496969547e-05	0.003	0.819252336449	False	6	3	0.593051384731
ADHFE1	5.20681714834e-05	0.003	0.819252336449	False	6	3	1.79889909804
hsa-mir-3174	5.34123195759e-05	0.003	0.819252336449	False	4	3	3.61325150739
ATP2B2	5.54537863372e-05	0.003	0.819252336449	False	6	3	0.555752003585
ALPK1	5.59339906781e-05	0.003	0.819252336449	False	6	2	-0.993982232805
C15orf39	5.64576669377e-05	0.003	0.819252336449	False	6	3	-0.278154352966
SLIT2	5.71844033624e-05	0.003	0.819252336449	False	4	1	-1.51813531608
OR4K5	5.77819059905e-05	0.003	0.819252336449	False	6	2	-0.0025230858384
FAM177A1	5.77819059905e-05	0.003	0.819252336449	False	6	2	-0.656153856598
RP1	5.9407724439e-05	0.004	0.819252336449	False	6	2	-0.993982232805
ZBTB37	6.21000737416e-05	0.004	0.819252336449	False	6	3	1.71894643853
AKIRIN1	6.53536038428e-05	0.004	0.819252336449	False	6	1	0.229881735942
DMD	6.64691600855e-05	0.004	0.819252336449	False	6	2	-0.656153856598
GPSM1	6.7673408255e-05	0.004	0.819252336449	False	6	2	-0.657694245067
DCAF13	7.07558650247e-05	0.004	0.819252336449	False	6	3	1.64942062048
CSRP2	7.0923698594e-05	0.004	0.819252336449	False	6	3	2.63527761919
STEAP4	7.33013090016e-05	0.004	0.819252336449	False	6	3	2.84264809366
EPHB4	7.35228043231e-05	0.004	0.819252336449	False	6	1	0.0
ZNF75A	7.42786544072e-05	0.004	0.819252336449	False	6	2	-1.65446270984
SCGB2A2	7.51407906105e-05	0.004	0.819252336449	False	6	3	1.64761771303
EFS	7.51407906105e-05	0.004	0.819252336449	False	6	3	3.03520742829
KRTAP6-1	7.54803832988e-05	0.004	0.819252336449	False	6	2	-1.8966390367
SCAF11	7.5797293191e-05	0.004	0.819252336449	False	6	3	1.64761771303
GLP1R	7.92161219537e-05	0.004	0.819252336449	False	6	2	-0.510769370792
LLPH	8.16920048035e-05	0.005	0.819252336449	False	6	1	-1.31538849013
EXT2	8.30420874596e-05	0.005	0.819252336449	False	6	2	0.648151992616
BCR	8.82581437556e-05	0.005	0.819252336449	False	6	2	-0.51334633441
ASIP	8.98612052838e-05	0.005	0.819252336449	False	6	1	-1.65206428248
GALNT13	9.14225821583e-05	0.005	0.819252336449	False	6	3	1.27913491595
B3GAT3	9.18237727633e-05	0.005	0.819252336449	False	6	2	0.0
METTL20	9.65134731343e-05	0.005	0.819252336449	False	6	3	2.07803401399
NUDT3	9.6668252374e-05	0.005	0.819252336449	False	6	3	1.58953143006
NUDT2	9.80280032741e-05	0.005	0.819252336449	False	6	2	0.0
EN2	9.84862539941e-05	0.005	0.819252336449	False	6	3	0.916498884865
ATP6V1G1	9.94110534334e-05	0.005	0.819252336449	False	6	2	-0.993982232805
OR7G1	0.000102282279379	0.005	0.819252336449	False	6	2	0.722981041237
KIAA2013	0.000105328905359	0.005	0.819252336449	False	6	3	1.53038508622
MRPL54	0.000106199606245	0.005	0.819252336449	False	6	1	-2.05504224392
FAM216A	0.000106792353944	0.005	0.819252336449	False	6	2	0.1192005495
ZNF121	0.000107308927426	0.005	0.819252336449	False	6	3	0.287080973159
HCN4	0.000111484966757	0.005	0.819252336449	False	6	3	1.48923062921
SMPD1	0.000115942697219	0.005	0.819252336449	False	6	3	1.59928355356
GALNT1	0.000116280521497	0.005	0.819252336449	False	6	2	0.195030380619
MPZL3	0.000118760158237	0.005	0.819252336449	False	6	2	-0.993982232805
ACAT1	0.00012232047795	0.005	0.819252336449	False	6	3	0.557908196216
TMEM17	0.000122538007205	0.005	0.819252336449	False	6	1	-1.22314847479
SNTA1	0.000124343878941	0.005	0.819252336449	False	6	2	-1.65206428248
KRTAP25-1	0.000124343878941	0.005	0.819252336449	False	6	2	0.357283292541
hsa-mir-3912	0.00012912590204	0.005	0.819252336449	False	4	2	2.86667438029
ABCB11	0.00012912590204	0.005	0.819252336449	False	6	2	0.0
SPERT	0.000129994164385	0.005	0.819252336449	False	6	3	1.42474618994
UBE2G1	0.000130707207686	0.006	0.819252336449	False	6	1	-0.237205521077
SLC27A4	0.000132017055884	0.006	0.819252336449	False	6	3	1.41219719206
KCNH6	0.000132489388199	0.006	0.819252336449	False	6	2	2.79296746259
MED13	0.000134542865353	0.006	0.819252336449	False	6	3	1.39290809024
GPR35	0.000135510409233	0.006	0.819252336449	False	6	3	0.736324099892
PAX4	0.000137198453819	0.006	0.819252336449	False	6	3	1.39097450497
ZKSCAN5	0.00013785141594	0.006	0.819252336449	False	6	3	1.39033112662
CDK13	0.00013785141594	0.006	0.819252336449	False	6	3	1.39033112662
ZDHHC13	0.00013785141594	0.006	0.819252336449	False	6	3	1.39033112662
FOXF1	0.000139539028286	0.006	0.819252336449	False	6	2	-0.657694245067
HS6ST1	0.000139539028286	0.006	0.819252336449	False	6	2	-1.31384810167
CHRNE	0.000139539028286	0.006	0.819252336449	False	6	2	1.28171187957
CCDC86	0.000145192154259	0.006	0.819252336449	False	6	2	0.0
NPY	0.000147045608646	0.006	0.819252336449	False	6	1	-1.7544483309
SDCBP2	0.00014736580719	0.006	0.819252336449	False	6	2	-0.657694245067
OR8K1	0.000155214809127	0.006	0.819252336449	False	6	1	0.475884294801
GAST	0.000163384009607	0.006	0.819252336449	False	6	1	-0.99434218784
TBATA	0.000163555537391	0.006	0.819252336449	False	6	2	-0.172249547965
ADRA1A	0.000165756869009	0.006	0.819252336449	False	6	2	1.27913491595
SLC22A1	0.000165967287102	0.006	0.819252336449	False	6	2	0.196749378854
ETV5	0.000166177838666	0.006	0.819252336449	False	6	2	-0.803680754901
CXorf57	0.000171271117706	0.006	0.819252336449	False	6	2	0.577626079065
TXNL1	0.000173308446007	0.006	0.819252336449	False	6	2	-1.2245523761
BEAN1	0.000173308446007	0.006	0.819252336449	False	6	2	0.0
PASD1	0.000178706962926	0.006	0.819252336449	False	6	3	1.09511191029
ZYG11B	0.000179173899159	0.006	0.819252336449	False	6	3	1.35685341512
PCDH7	0.000179602169274	0.006	0.819252336449	False	6	2	-0.51334633441
ZNF154	0.000179602169274	0.006	0.819252336449	False	6	2	-0.674310381856
TGFBR1	0.000179602169274	0.006	0.819252336449	False	6	2	1.38758971526
CSGALNACT2	0.000179602169274	0.006	0.819252336449	False	6	2	-2.67073678993
GRID1	0.000179722410568	0.007	0.819252336449	False	6	1	-1.31538849013
hsa-mir-501	0.000184784590709	0.007	0.819252336449	False	4	2	2.08527735803
MED13L	0.000186675818861	0.007	0.819252336449	False	6	3	1.31835056765
MMP14	0.000186795919105	0.007	0.819252336449	False	6	3	-0.220781572059
GREB1L	0.000189977127048	0.007	0.819252336449	False	6	3	1.29904202143
hsa-mir-1208	0.000191168557511	0.007	0.819252336449	False	4	2	1.31113738543
POLR2F	0.000193153301306	0.007	0.819252336449	False	6	3	0.0578611125875
FN1	0.000196051201568	0.007	0.819252336449	False	6	2	0.489230629209
MAP4	0.000196060811528	0.007	0.819252336449	False	6	1	0.0
INHA	0.000201469233873	0.007	0.819252336449	False	6	2	-0.657694245067
ZFYVE27	0.000201469233873	0.007	0.819252336449	False	6	2	-1.7544483309
PTPLAD2	0.000201469233873	0.007	0.819252336449	False	6	2	-1.99182085175
NME8	0.000201469233873	0.007	0.819252336449	False	6	2	0.0
DNAJC3	0.000201469233873	0.007	0.819252336449	False	6	2	0.194172415229
GHSR	0.000201469233873	0.007	0.819252336449	False	6	2	-1.22314847479
MFSD2B	0.000201469233873	0.007	0.819252336449	False	6	2	-1.16910872034
GTF3C3	0.000203656377112	0.007	0.819252336449	False	6	3	1.2808518684
OR52N1	0.000207111481027	0.007	0.819252336449	False	6	3	1.27977829431
TRAK2	0.000216584633894	0.007	0.819252336449	False	6	2	-0.366137340687
RPP25	0.000216584633894	0.007	0.819252336449	False	6	2	-1.65167647787
SPINK1	0.000216584633894	0.007	0.819252336449	False	6	2	-0.738018063502
GLMN	0.000218421126319	0.007	0.819252336449	False	6	3	1.27913491595
LIN37	0.000218421126319	0.007	0.819252336449	False	6	3	1.76836554516
SRPK1	0.000218421126319	0.007	0.819252336449	False	6	3	2.66672463121
LDOC1L	0.000222272045403	0.007	0.819252336449	False	6	2	0.0
C8orf44-SGK3	0.000225204685002	0.007	0.819252336449	False	6	2	0.511300189147
OLFML3	0.000227887657681	0.007	0.819252336449	False	6	3	1.23790383586
PRSS2	0.000228724533226	0.007	0.819252336449	False	6	2	0.0
IFI16	0.00022873761345	0.007	0.819252336449	False	6	1	0.0
EIF3G	0.000228986645166	0.007	0.819252336449	False	6	3	1.2319440428
C1orf65	0.00023054958397	0.007	0.819252336449	False	6	3	1.22988173594
C7orf65	0.000235935462676	0.007	0.819252336449	False	6	3	2.60008874212
STON2	0.000237670850111	0.008	0.819252336449	False	6	3	1.400654871
CCS	0.000241594657074	0.008	0.819252336449	False	6	3	0.537336135551
FBXO15	0.000244362074064	0.009	0.819252336449	False	6	3	1.18803609335
EXT1	0.000244479796447	0.009	0.819252336449	False	6	2	-0.656153856598
ABI3BP	0.000244553705534	0.009	0.819252336449	False	6	3	1.20958505106
CEP85	0.000245225204612	0.009	0.819252336449	False	6	3	1.18117481097
ACAP1	0.000248213763732	0.009	0.819252336449	False	6	3	1.39529009701
NFKB2	0.000248552699184	0.009	0.819252336449	False	6	3	2.15569565678
DCAF8L2	0.000249160614651	0.009	0.819252336449	False	6	1	-3.4180573966
PCDHGA1	0.000249160614651	0.009	0.819252336449	False	6	1	0.0
THAP4	0.000249231495439	0.009	0.819252336449	False	6	3	2.13613763037
GCAT	0.000256928535872	0.009	0.819252336449	False	6	3	1.1481323698
CD52	0.000257157803512	0.009	0.819252336449	False	6	2	-0.218288120425
PGC	0.000261414415371	0.01	0.819252336449	False	6	1	0.0
POU3F2	0.000266143116537	0.01	0.819252336449	False	6	2	0.0
hsa-mir-3671	0.000266143116537	0.01	0.819252336449	False	3	2	5.17287427266
PKM	0.000266143116537	0.01	0.819252336449	False	6	2	-1.79723285396
XKR7	0.000266143116537	0.01	0.819252336449	False	6	2	0.0
HOXC11	0.000266143116537	0.01	0.819252336449	False	6	2	2.26274794377
CYYR1	0.000275418279984	0.01	0.819252336449	False	6	2	-0.0381501416881
HDLBP	0.000278954478488	0.01	0.819252336449	False	6	2	0.0
HIST1H2AA	0.000278954478488	0.01	0.819252336449	False	6	2	-1.7544483309
CLEC19A	0.000284025651283	0.01	0.819252336449	False	6	2	-0.657694245067
TNKS	0.000286647518775	0.01	0.819252336449	False	6	2	-0.656153856598
AK5	0.000294091217293	0.01	0.819252336449	False	6	1	-0.0133463344104
FAM160B1	0.000299230560744	0.01	0.819252336449	False	6	2	0.0
HPCAL1	0.000302260417773	0.01	0.819252336449	False	6	1	-1.53664646349
SPEN	0.000303627301176	0.01	0.819252336449	False	6	2	-0.0108612153541
PRR19	0.000303627301176	0.01	0.819252336449	False	6	2	0.0
hsa-mir-548ah	0.000310429618253	0.01	0.819252336449	False	2	1	4.7083886279
CNGB3	0.000317009921887	0.01	0.819252336449	False	6	2	0.0
ADAP1	0.000317009921887	0.01	0.819252336449	False	6	2	-1.36297232614
DEFB128	0.000317009921887	0.01	0.819252336449	False	6	2	-1.53891774401
SRSF2	0.000317009921887	0.01	0.819252336449	False	6	2	0.0
NKX2-4	0.000317009921887	0.01	0.819252336449	False	6	2	0.0
ZKSCAN2	0.000318598818734	0.01	0.819252336449	False	6	1	-1.31538849013
TGFB3	0.000327716735865	0.01	0.819252336449	False	6	2	1.38758971526
FAM20A	0.000334937219694	0.011	0.819252336449	False	6	1	-1.22385076698
SP7	0.000335451953201	0.011	0.819252336449	False	6	2	-1.65110083021
PRR14	0.000343076989671	0.011	0.819252336449	False	6	2	-2.15360285639
ZNF396	0.000343106420175	0.011	0.819252336449	False	6	1	-1.65167647787
SLC19A3	0.000345096082404	0.011	0.819252336449	False	6	2	-0.0132034110236
TTBK2	0.00034722395455	0.011	0.819252336449	False	6	2	-0.30325062115
MRM1	0.000349053050357	0.011	0.819252336449	False	6	2	-2.21853460891
SMCR8	0.000350886951143	0.011	0.819252336449	False	6	2	0.985942953709
MED20	0.000351275620655	0.011	0.819252336449	False	6	1	0.0
CALML6	0.000351805703404	0.011	0.819252336449	False	6	2	0.985942953709
OR9Q2	0.000359444821135	0.011	0.819252336449	False	6	1	-0.657694245067
DCAF7	0.000366669108907	0.011	0.819252336449	False	6	2	0.9870212401
ZNF45	0.000366669108907	0.011	0.819252336449	False	6	2	0.0
ANKRD53	0.000366669108907	0.011	0.819252336449	False	6	2	0.731435858662
CD97	0.000367614021616	0.011	0.819252336449	False	6	1	-1.29980981758
LETMD1	0.000380086098573	0.011	0.819252336449	False	6	2	0.0
RAD51	0.000382319079662	0.011	0.819252336449	False	6	2	-1.65373667896
OR5M1	0.000383952422576	0.011	0.819252336449	False	6	1	-1.88154501205
C14orf2	0.000385039349145	0.011	0.819252336449	False	6	2	-0.995910425877
SYTL1	0.00039147802265	0.011	0.819252336449	False	6	2	-0.238609422394
PLEK	0.00039147802265	0.011	0.819252336449	False	6	2	0.0
GBP3	0.00039147802265	0.011	0.819252336449	False	6	2	-1.05274796467
IDH3A	0.000395529305023	0.011	0.819252336449	False	6	2	-2.762768511
TMEM257	0.000400290823537	0.011	0.819252336449	False	6	1	-1.88140716007
MFSD4	0.000400908930855	0.011	0.819252336449	False	6	2	0.879883373276
ATP5O	0.000404515535666	0.011	0.819252336449	False	6	2	0.0
LRRTM3	0.00040797326951	0.011	0.819252336449	False	6	2	-1.22314847479
DKK4	0.00040841831412	0.011	0.819252336449	False	6	2	-0.012059003351
LYPD4	0.000419103455636	0.011	0.819252336449	False	6	2	-0.993982232805
SHCBP1L	0.000419103455636	0.011	0.819252336449	False	6	2	-0.596878325367
SETDB1	0.000424753311553	0.011	0.819252336449	False	6	2	0.0
C11orf86	0.000428883025218	0.011	0.819252336449	False	6	1	-1.88294754854
LCE1B	0.000428883025218	0.011	0.819252336449	False	6	1	-2.87758744594
DHCR7	0.000428883025218	0.011	0.819252336449	False	6	1	-2.62425506822
KBTBD7	0.000439070083819	0.011	0.819252336449	False	6	2	-0.656153856598
PMEPA1	0.000439070083819	0.011	0.819252336449	False	6	2	0.0
CACNA2D2	0.000439070083819	0.011	0.819252336449	False	6	2	1.68011536894
WFDC11	0.000439070083819	0.011	0.819252336449	False	6	2	0.0
RGS19	0.000439070083819	0.011	0.819252336449	False	6	2	0.987297043947
MBTPS2	0.000439070083819	0.011	0.819252336449	False	6	2	-1.39679589993
MVP	0.000439070083819	0.011	0.819252336449	False	6	2	0.0
AGTR2	0.000439070083819	0.011	0.819252336449	False	6	2	2.13071608408
ICT1	0.000439070083819	0.011	0.819252336449	False	6	2	0.0703652065629
KCNE1	0.000449306026419	0.011	0.819252336449	False	6	1	-1.31538849013
KDM2B	0.000456354665469	0.011	0.819252336449	False	6	2	-0.657694245067
TMEM160	0.000464417622498	0.011	0.819252336449	False	6	2	-1.2245523761
FBXL8	0.00047381362786	0.011	0.819252336449	False	6	1	-1.88140716007
LLGL1	0.00047450662947	0.011	0.819252336449	False	6	2	-0.171040579476
FAM129C	0.000477715155017	0.011	0.819252336449	False	6	2	-2.05294975653
hsa-mir-320b-1	0.000483805200512	0.011	0.819252336449	False	4	2	2.33687352466
MYO3B	0.000483805200512	0.011	0.819252336449	False	6	2	-1.16692322739
TG	0.000486067428581	0.011	0.819252336449	False	6	1	0.0
C3orf22	0.000490838340163	0.011	0.819252336449	False	6	2	0.413229082492
EZH2	0.00049810453804	0.011	0.819252336449	False	6	2	-0.993982232805
HLA-DRB1	0.00049810453804	0.011	0.819252336449	False	6	2	0.0
TRIM42	0.00049810453804	0.011	0.819252336449	False	6	2	-0.841666466384
ATP2B3	0.000500477547598	0.011	0.819252336449	False	6	2	-0.0107693707898
COMMD4	0.000500477547598	0.011	0.819252336449	False	6	2	-0.657694245067
FCRL3	0.000506490429782	0.011	0.819252336449	False	6	1	-0.995910425877
KCNG4	0.000514659630262	0.011	0.819252336449	False	6	1	-1.17104057948
SKA3	0.000525079229885	0.011	0.819252336449	False	6	2	-0.993982232805
MSRA	0.000525079229885	0.011	0.819252336449	False	6	2	0.0
FAM69C	0.000525079229885	0.011	0.819252336449	False	6	2	-0.657694245067
P2RY13	0.000525079229885	0.011	0.819252336449	False	6	2	-0.949176418213
MAB21L1	0.000525079229885	0.011	0.819252336449	False	6	2	0.0
PRR15L	0.000525079229885	0.011	0.819252336449	False	6	2	-0.994946973609
ARL6IP6	0.000525079229885	0.011	0.819252336449	False	6	2	0.973307331182
UROS	0.000525079229885	0.011	0.819252336449	False	6	2	-2.76256246591
GRM1	0.000525079229885	0.011	0.819252336449	False	6	2	0.731435858662
DIO2	0.000525079229885	0.011	0.819252336449	False	6	2	-2.12362791189
SUV39H1	0.000525079229885	0.011	0.819252336449	False	6	2	-2.30989053555
EIF4A2	0.000525079229885	0.011	0.819252336449	False	6	2	1.47517358292
UNC5CL	0.000525079229885	0.011	0.819252336449	False	6	2	-2.30989053555
NHP2L1	0.000525079229885	0.011	0.819252336449	False	6	2	0.0
TSPAN18	0.000526913430983	0.011	0.819252336449	False	6	1	-2.39720157415
AIRE	0.000526913430983	0.011	0.819252336449	False	6	1	-0.656153856598
CAPN15	0.000539167231703	0.011	0.819252336449	False	6	1	-2.39270632581
CPT1B	0.000547336432183	0.012	0.819252336449	False	6	1	-3.38155153982
AEBP2	0.000556035131474	0.013	0.819252336449	False	6	2	-3.41251767609
RFC2	0.000556035131474	0.013	0.819252336449	False	6	2	-1.39900176475
OR13J1	0.000556035131474	0.013	0.819252336449	False	6	2	-0.993982232805
RNF167	0.000560474516105	0.013	0.819252336449	False	6	2	0.0
C1orf233	0.000563674833144	0.013	0.819252336449	False	6	1	-0.995910425877
DPH1	0.000568626765683	0.013	0.819252336449	False	6	2	0.694601270365
hsa-mir-6805	0.000568626765683	0.013	0.819252336449	False	4	2	2.27913491595
CENPP	0.000568626765683	0.013	0.819252336449	False	6	2	1.26913766808
RNF151	0.000571762282225	0.013	0.819252336449	False	6	2	-0.977905130521
ZNF43	0.000574485838448	0.013	0.819252336449	False	6	2	-0.977655458397
GPR22	0.000576445536286	0.013	0.819252336449	False	6	2	1.76759056937
OPALIN	0.000577622956649	0.013	0.819252336449	False	6	2	-0.657694245067
CNPPD1	0.00058609628902	0.013	0.819252336449	False	6	2	0.0
MPP7	0.00058609628902	0.013	0.819252336449	False	6	2	-0.666923227388
PAWR	0.000589463228759	0.013	0.819252336449	False	6	2	-0.993982232805
IL20	0.000596351635065	0.013	0.819252336449	False	6	1	-1.00647060183
AP3D1	0.000598422264548	0.013	0.819252336449	False	6	2	0.0
hsa-mir-648	0.000604231669166	0.013	0.819252336449	False	4	2	2.70760361305
ZNF649	0.000604520835546	0.013	0.819252336449	False	6	1	-1.0047516036
LILRA1	0.000605437118581	0.013	0.819252336449	False	6	2	-1.22314847479
LOC100129636	0.000612492848313	0.013	0.819252336449	False	6	2	0.0
CKAP4	0.000612492848313	0.013	0.819252336449	False	6	2	-1.22314847479
LOC100130301	0.000612492848313	0.013	0.819252336449	False	6	2	-1.39900176475
CEACAM4	0.000612492848313	0.013	0.819252336449	False	6	2	0.985942953709
NADK2	0.000633113037227	0.013	0.819252336449	False	6	1	-0.656153856598
