gene	aRRA	aRRA p_value	aRRA FDR	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
HBEGF	7.79702235666e-09	0.0	0.0	True	6	5	5.64482389757
DEPDC4	2.93345846162e-07	0.0	0.0	True	6	3	2.95938532643
OR4P4	2.36398014913e-06	0.0	0.0	True	6	3	2.14299969893
HAUS2	3.87365562359e-06	0.0	0.0	True	6	4	3.01798241936
TAS2R4	4.32822180847e-06	0.0	0.0	True	6	4	2.43312231841
GH1	4.35906045973e-06	0.0	0.0	True	6	4	1.78825103313
NEURL4	4.9836806505e-06	0.0	0.0	True	6	3	1.70942591021
OR3A2	5.95534364448e-06	0.0	0.0	True	6	4	2.09957266242
GRK7	7.34656797598e-06	0.0	0.0	True	6	2	1.10836911555
PRDM13	8.1030054047e-06	0.0	0.0	True	6	1	0.837218297104
PKD2L1	1.05579840702e-05	0.0	0.0	True	6	2	0.0788945333823
PQLC2	1.10386981465e-05	0.0	0.0	True	6	4	1.83166806539
PIWIL3	1.33347221557e-05	0.0	0.0	True	6	3	2.60379477234
KIAA2022	1.34559107917e-05	0.0	0.0	True	6	4	2.9373164992
STEAP4	1.37352974752e-05	0.0	0.0	True	6	4	2.11898941996
KCNH6	1.4861630673e-05	0.0	0.0	True	6	4	2.29990446478
MOGAT1	1.86179337846e-05	0.002	0.674307692308	False	6	2	0.88814585848
CYP39A1	1.99572245019e-05	0.002	0.674307692308	False	6	3	1.67380823693
RIBC1	2.11457936032e-05	0.002	0.674307692308	False	6	2	0.685106570342
MAPK10	2.26159412144e-05	0.003	0.674307692308	False	6	3	2.80351771714
LEPROTL1	2.32140775915e-05	0.003	0.674307692308	False	6	3	0.466732537075
SLC35B2	2.43090162141e-05	0.003	0.674307692308	False	6	1	0.585242009019
FMO4	2.44289038339e-05	0.003	0.674307692308	False	6	3	2.21572756366
CLEC1A	2.46780044019e-05	0.003	0.674307692308	False	6	3	0.83003464057
RSAD1	2.54482698224e-05	0.003	0.674307692308	False	6	3	1.58594602528
PLEKHM2	2.5490356258e-05	0.003	0.674307692308	False	6	3	1.84112262731
PRAMEF1	2.61013180696e-05	0.003	0.674307692308	False	6	2	2.53449564982
ERC2	2.61013180696e-05	0.003	0.674307692308	False	6	2	1.21106143179
TYRP1	2.75100949249e-05	0.003	0.674307692308	False	6	3	1.78805979721
APAF1	2.8600928234e-05	0.003	0.674307692308	False	6	2	0.75630598946
PARN	3.1532523378e-05	0.003	0.674307692308	False	6	2	0.0428979825967
HIST1H1C	3.23568683137e-05	0.003	0.674307692308	False	6	2	1.69267132417
SBSPON	3.2411758984e-05	0.003	0.674307692308	False	6	2	1.04590750454
IQGAP3	3.24120216188e-05	0.003	0.674307692308	False	6	1	0.512703585311
DGCR8	3.54347128547e-05	0.003	0.674307692308	False	6	3	1.69582667417
NFKB2	3.81576749258e-05	0.003	0.674307692308	False	6	4	2.11268110621
ZNF81	3.95890588402e-05	0.003	0.674307692308	False	6	2	1.75205476236
ARHGAP27	4.20352785204e-05	0.003	0.674307692308	False	6	3	2.23684741183
TM9SF3	4.20352785204e-05	0.003	0.674307692308	False	6	3	1.3616464178
EXOC1	4.20352785204e-05	0.003	0.674307692308	False	6	3	0.996709747556
