gene	aRRA	p_value	p_value (adj.)	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
HBEGF	3.30301177346e-09	0.0	0.0	True	6	4	3.16827441915
MRI1	2.21218134067e-06	0.0	0.0	True	6	2	1.61866838472
CPSF3L	5.38264562779e-06	0.0	0.0	True	6	2	0.865037775101
HELT	5.88670140078e-06	0.0	0.0	True	6	2	0.543665587788
XKRX	6.00521704458e-06	0.0	0.0	True	6	3	1.16790937676
PIP5K1B	6.00521704458e-06	0.0	0.0	True	6	3	1.91926605499
LRRC8C	7.17970823274e-06	0.0	0.0	True	6	2	0.341342958455
NonTargetingControlGuideForHuman_0017	8.16920048035e-06	0.0	0.0	True	1	1	11.3344447791
PRAMEF1	1.35741358775e-05	0.0	0.0	True	6	2	2.30883746802
CSGALNACT1	1.37856384273e-05	0.0	0.0	True	6	2	0.233855840772
RPUSD4	1.63384009607e-05	0.0	0.0	True	6	1	1.13562355283
RNF151	1.65498336383e-05	0.0	0.0	True	6	3	0.527061190148
GALNT16	1.96045862701e-05	0.0	0.0	True	6	2	-0.282115107618
SULF2	2.25274157008e-05	0.0	0.0	True	6	2	-0.337596581846
ANKRD16	2.4507601441e-05	0.0	0.0	True	6	1	-0.934720456436
COL20A1	2.96010806893e-05	0.001	0.610162412993	False	6	2	0.527050729273
RABEP2	3.04065154999e-05	0.001	0.610162412993	False	6	2	0.696931020417
SBNO2	3.26768019214e-05	0.001	0.610162412993	False	6	1	1.04921902138
COL5A2	3.62488375694e-05	0.001	0.610162412993	False	6	2	0.370365220497
HMGN4	4.68648407588e-05	0.001	0.610162412993	False	6	2	0.217273606054
PSMC3IP	4.90152028821e-05	0.001	0.610162412993	False	6	1	0.888160473614
CCDC22	5.71844033624e-05	0.002	0.610162412993	False	6	1	-0.425323128882
GSX2	6.1311697854e-05	0.002	0.610162412993	False	6	2	0.607236057514
GPR137	6.53536038428e-05	0.002	0.610162412993	False	6	1	-0.552056646308
PSMD5	7.12820318253e-05	0.002	0.610162412993	False	6	2	1.53002759823
LRIG1	7.12820318253e-05	0.002	0.610162412993	False	6	2	2.01562642766
SLC35E4	7.12820318253e-05	0.002	0.610162412993	False	6	2	1.32321043813
ELAC2	7.12820318253e-05	0.002	0.610162412993	False	6	2	0.762965849485
FAM161A	7.12820318253e-05	0.002	0.610162412993	False	6	2	0.404767642005
OTUD6A	7.12820318253e-05	0.002	0.610162412993	False	6	2	0.10696854597
ZNF236	7.12820318253e-05	0.002	0.610162412993	False	6	2	0.401136488054
LAX1	7.12820318253e-05	0.002	0.610162412993	False	6	2	0.62293410081
hsa-mir-4653	7.12820318253e-05	0.002	0.610162412993	False	4	2	2.31007452098
PGC	7.12820318253e-05	0.002	0.610162412993	False	6	2	0.945577806177
BRPF1	7.35228043231e-05	0.002	0.610162412993	False	6	1	0.441250263277
RECQL4	8.16920048035e-05	0.002	0.610162412993	False	6	1	-1.29142331442
TSPAN14	8.4312454159e-05	0.002	0.610162412993	False	6	2	0.563745069563
CAMK4	8.4312454159e-05	0.002	0.610162412993	False	6	2	0.198606438663
SP7	8.65018066948e-05	0.002	0.610162412993	False	6	2	-0.237059929745
FNTB	8.65018066948e-05	0.002	0.610162412993	False	6	2	0.338036746326
HCRTR1	8.98612052838e-05	0.002	0.610162412993	False	6	1	0.545867902071
RAB18	9.80304057642e-05	0.002	0.610162412993	False	6	1	-0.107217131011
ACTR3C	0.000101787166208	0.002	0.610162412993	False	6	2	0.0423442281589
TBC1D10B	0.000101787166208	0.002	0.610162412993	False	6	2	-0.304463313298
OPRL1	0.000101787166208	0.002	0.610162412993	False	6	2	0.461341872076
GPR1	0.000101787166208	0.002	0.610162412993	False	6	2	0.355776342316
POU2F1	0.000101787166208	0.002	0.610162412993	False	6	2	1.01968819242
MCUR1	0.000101787166208	0.002	0.610162412993	False	6	2	0.361742486453
HTRA3	0.000101787166208	0.002	0.610162412993	False	6	2	0.230530639429
LDB3	0.000101787166208	0.002	0.610162412993	False	6	2	0.45887965754
TDRD9	0.000106199606245	0.003	0.610162412993	False	6	1	-2.38320168724
ST3GAL6	0.000114368806725	0.003	0.610162412993	False	6	1	-0.329874467071
CPD	0.000115576858837	0.003	0.610162412993	False	6	2	-0.238015917027
SLC35G6	0.000115752574294	0.003	0.610162412993	False	6	2	0.043220526809
PITPNM1	0.000118938276185	0.003	0.610162412993	False	6	2	0.0471479906159
SLC10A6	0.000121086102347	0.003	0.610162412993	False	6	2	0.331426383965
TRPC5	0.000122538007205	0.003	0.610162412993	False	6	1	0.752909982842
ABCG1	0.000123434603168	0.003	0.610162412993	False	6	2	0.163634835822
HNRNPH3	0.000123434603168	0.003	0.610162412993	False	6	2	-0.240284657113
MYEF2	0.000123434603168	0.003	0.610162412993	False	6	2	1.44923576388
TSNAXIP1	0.00012617244086	0.003	0.610162412993	False	6	2	0.696430668906
TJP3	0.000130707207686	0.003	0.610162412993	False	6	1	0.850593014129
RP1	0.000134092733355	0.003	0.610162412993	False	6	2	0.234873962204
hsa-mir-590	0.000138876408166	0.004	0.610162412993	False	3	1	2.19847888428
MRAP	0.000141670103753	0.004	0.610162412993	False	6	2	1.40694199813
MEN1	0.000141670103753	0.004	0.610162412993	False	6	2	0.972131704593
TRIM24	0.000141670103753	0.004	0.610162412993	False	6	2	1.86228723697
EPHB4	0.000141670103753	0.004	0.610162412993	False	6	2	0.835268819516
PRLH	0.000141670103753	0.004	0.610162412993	False	6	2	0.243066327298
TUBGCP2	0.000141670103753	0.004	0.610162412993	False	6	2	-0.485942095684
ZNF784	0.000147045608646	0.004	0.610162412993	False	6	1	1.70700455215
ABHD12	0.000155214809127	0.004	0.610162412993	False	6	1	0.849998271849
AP1S3	0.000163384009607	0.004	0.610162412993	False	6	1	0.143541555817
RIPK3	0.000169777636422	0.004	0.610162412993	False	6	1	0.439130616438
GTF3C4	0.000169777636422	0.004	0.610162412993	False	6	1	0.123682169494
GRK7	0.000169777636422	0.004	0.610162412993	False	6	1	-0.0841023576712
SMAD6	0.000169777636422	0.004	0.610162412993	False	6	1	-0.171079673605
EBF2	0.000169777636422	0.004	0.610162412993	False	6	1	1.33415111586
ME2	0.000169777636422	0.004	0.610162412993	False	6	1	0.709010481296
PSD4	0.000169777636422	0.004	0.610162412993	False	6	0	1.28348121642
KANSL3	0.000169777636422	0.004	0.610162412993	False	6	1	0.448715934339
NAGS	0.000169777636422	0.004	0.610162412993	False	6	1	-0.178680229725
FAM173A	0.000169777636422	0.004	0.610162412993	False	6	1	0.133993439297
PCDHB1	0.000169777636422	0.004	0.610162412993	False	6	1	1.50932112275
DDB2	0.000169777636422	0.004	0.610162412993	False	6	1	0.65016594775
AJUBA	0.000169777636422	0.004	0.610162412993	False	6	1	0.589805520409
CADPS	0.000169777636422	0.004	0.610162412993	False	6	1	-0.0377577811818
C11orf93	0.000169777636422	0.004	0.610162412993	False	6	1	0.213584493602
C19orf12	0.000169777636422	0.004	0.610162412993	False	6	1	1.03504513205
TMEM115	0.000169777636422	0.004	0.610162412993	False	6	1	0.210186927359
KCND1	0.000169777636422	0.004	0.610162412993	False	6	1	-0.323244226627
COL3A1	0.000169777636422	0.004	0.610162412993	False	6	1	-0.167108224046
HOXC11	0.000169777636422	0.004	0.610162412993	False	6	1	0.607758405544
MGMT	0.000171553210087	0.004	0.610162412993	False	6	1	-1.72226962785
KIAA1045	0.000179722410568	0.004	0.610162412993	False	6	1	-0.284695148077
PCDHAC1	0.000196060811528	0.004	0.610162412993	False	6	1	1.12036745749
EXOC1	0.000200658376776	0.004	0.610162412993	False	6	2	0.2260829186
NonTargetingControlGuideForHuman_0314	0.000204230012009	0.005	0.610162412993	False	1	1	8.70759056749
MAGOHB	0.000205196830756	0.005	0.610162412993	False	6	2	-0.0381678412528
OGN	0.000205196830756	0.005	0.610162412993	False	6	2	0.937814624665
KCNAB1	0.000205196830756	0.005	0.610162412993	False	6	2	0.433274855214
ZNF124	0.000205196830756	0.005	0.610162412993	False	6	2	1.09722983588
TOR1A	0.00020978603734	0.005	0.610162412993	False	6	2	0.717824632629
M6PR	0.000210378067629	0.005	0.610162412993	False	6	2	1.80033676267
LOC730159	0.000212399212489	0.005	0.610162412993	False	6	1	-0.301005279902
TMEM125	0.000215144341071	0.005	0.610162412993	False	6	2	0.860160954358
HIST1H2BN	0.000215144341071	0.005	0.610162412993	False	6	2	1.13925081647
DEPDC4	0.000215144341071	0.005	0.610162412993	False	6	2	1.74692296962
CCDC96	0.000215144341071	0.005	0.610162412993	False	6	2	-0.350116700055
SAMD1	0.000224469723235	0.005	0.610162412993	False	6	1	-0.320295803075
USP17L4	0.00022873761345	0.005	0.610162412993	False	6	1	0.89232851639
ATG5	0.00023690681393	0.005	0.610162412993	False	6	1	-0.145460839608
GLB1	0.00024507601441	0.005	0.610162412993	False	6	1	-0.674680572112
ZNF44	0.000253245214891	0.005	0.610162412993	False	6	1	0.86676461603
SERPINE1	0.000261414415371	0.005	0.610162412993	False	6	1	0.0925751625877
PIWIL3	0.000269583615852	0.005	0.610162412993	False	6	1	1.19513035616
DNAH14	0.000277752816332	0.005	0.610162412993	False	6	1	-1.35416678511
DEFB115	0.000285922016812	0.005	0.610162412993	False	6	1	0.108658265345
ORC4	0.000302260417773	0.005	0.610162412993	False	6	1	0.530183274481
EIF4A3	0.000310429618253	0.005	0.610162412993	False	6	1	0.224653211485
KCNK5	0.000317737592764	0.005	0.610162412993	False	6	2	0.121461216526
CNOT6L	0.000326768019214	0.005	0.610162412993	False	6	1	0.180090072576
LRBA	0.000330384100514	0.005	0.610162412993	False	6	2	-0.624606871596
SH2B3	0.000334937219694	0.005	0.610162412993	False	6	1	1.4029103269
HCFC2	0.000343106420175	0.005	0.610162412993	False	6	1	-0.596741565271
SLC4A4	0.000349816591746	0.005	0.610162412993	False	6	2	-0.50084180917
PIH1D2	0.000349816591746	0.005	0.610162412993	False	6	2	-0.102484182888
PIAS3	0.000349816591746	0.005	0.610162412993	False	6	2	-0.00238858309734
NRXN3	0.000349816591746	0.005	0.610162412993	False	6	2	0.00746148186085
FAM216A	0.000349816591746	0.005	0.610162412993	False	6	2	1.10564899371
RSU1	0.000349816591746	0.005	0.610162412993	False	6	2	-0.581029006968
ZNF253	0.000351275620655	0.005	0.610162412993	False	6	1	0.561705478458
LRRIQ3	0.000359444821135	0.005	0.610162412993	False	6	1	-0.563298246361
SLC15A4	0.000365106489295	0.005	0.610162412993	False	6	2	0.281441627161
NOP16	0.000367614021616	0.005	0.610162412993	False	6	1	0.259917597631
PAK2	0.000371376988492	0.005	0.610162412993	False	6	2	0.633728484754
C11orf35	0.000379608453508	0.005	0.610162412993	False	6	2	0.786541400175
PANX2	0.000383952422576	0.005	0.610162412993	False	6	1	-0.398080812135
RNF130	0.000390508818096	0.005	0.610162412993	False	6	2	-0.0508546994404
KIAA1107	0.000390508818096	0.005	0.610162412993	False	6	2	0.137218260355
GTF2B	0.000392121623057	0.005	0.610162412993	False	6	1	1.10976780179
ZNF317	0.000400290823537	0.005	0.610162412993	False	6	1	-0.49816840025
DHRS7B	0.000408460024017	0.005	0.610162412993	False	6	1	0.329088085378
TMA16	0.000416629224498	0.005	0.610162412993	False	6	1	0.595737967744
PLA2G4C	0.000416765365604	0.005	0.610162412993	False	6	2	2.21321581963
PRRG1	0.000416765365604	0.005	0.610162412993	False	6	2	1.10196270779
CNOT8	0.000416765365604	0.005	0.610162412993	False	6	1	0.100235437036
JMY	0.000424798424978	0.005	0.610162412993	False	6	1	-0.283526046788
RIN1	0.000431740303374	0.005	0.610162412993	False	6	2	-0.582770388512
hsa-mir-4303	0.000431740303374	0.005	0.610162412993	False	4	2	1.4922118713
MPDZ	0.000432967625458	0.005	0.610162412993	False	6	1	-0.691594663166
SRSF10	0.00043463074924	0.005	0.610162412993	False	6	2	0.443389727495
