gene	aRRA	aRRA p_value	aRRA FDR	significant	# signif. sgRNAs
RPUSD4	0.0	0.00E+00	0.00E+00	True	1
HELT	1.21058528535e-07	0.00E+00	0.00E+00	True	3
HBEGF	2.11321592003e-07	0.00E+00	0.00E+00	True	4
NCKAP1L	4.74384082905e-07	0.00E+00	0.00E+00	True	2
SIRPB2	3.79771542536e-06	0.00E+00	0.00E+00	True	2
CPD	3.88457557865e-06	0.00E+00	0.00E+00	True	3
TRAPPC1	4.94285582631e-06	0.00E+00	0.00E+00	True	2
TMPRSS13	4.94285582631e-06	0.00E+00	0.00E+00	True	1
DNAJC13	6.1231521048e-06	0.00E+00	0.00E+00	True	3
OGN	7.77156548004e-06	0.00E+00	0.00E+00	True	3
SPATA19	8.84129138912e-06	0.00E+00	0.00E+00	True	3
M6PR	8.84129138912e-06	0.00E+00	0.00E+00	True	3
XRN1	9.3320048874e-06	0.00E+00	0.00E+00	True	2
MEN1	9.66189536256e-06	0.00E+00	0.00E+00	True	3
LIG3	9.9866877511e-06	0.00E+00	0.00E+00	True	2
LRRC8C	1.0769667708e-05	0.00E+00	0.00E+00	True	2
RP1	1.11614642168e-05	1.00E-03	9.72E-01	False	3
ANKRD16	1.62059451506e-05	1.00E-03	9.72E-01	False	1
COL20A1	1.62182889857e-05	1.00E-03	9.72E-01	False	2
PSMD5	1.77047195993e-05	2.00E-03	9.72E-01	False	2
DEPDC4	1.77047195993e-05	2.00E-03	9.72E-01	False	2
LEF1	1.77047195993e-05	2.00E-03	9.72E-01	False	2
GFPT1	2.16329647172e-05	2.00E-03	9.72E-01	False	2
HIST1H3J	2.31745362329e-05	3.00E-03	9.72E-01	False	3
MRI1	2.32437631091e-05	3.00E-03	9.72E-01	False	3
PRSS23	2.42917212439e-05	3.00E-03	9.72E-01	False	2
GALNT16	2.73580255222e-05	3.00E-03	9.72E-01	False	2
HDLBP	2.8349215201e-05	4.00E-03	9.72E-01	False	3
EIF3I	2.8349215201e-05	4.00E-03	9.72E-01	False	3
PCDHB1	2.8349215201e-05	4.00E-03	9.72E-01	False	3
C10orf32	3.2082879583e-05	4.00E-03	9.72E-01	False	0
IQCG	3.22689231074e-05	4.00E-03	9.72E-01	False	3
GPR137	3.24117589841e-05	4.00E-03	9.72E-01	False	2
DTNBP1	3.24120216189e-05	4.00E-03	9.72E-01	False	1
XKRX	3.28638794437e-05	4.00E-03	9.72E-01	False	3
PIP5K1B	3.28638794437e-05	4.00E-03	9.72E-01	False	3
TMEM125	3.40628678754e-05	4.00E-03	9.72E-01	False	3
