gene	aRRA	p_value	p_value (adj.)	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
HBEGF	4.05785450911e-09	0.0	0.0	True	6	4	4.62396040042
PIP5K1B	9.73018427512e-07	0.0	0.0	True	6	3	2.02249780129
MRI1	1.4312113678e-06	0.0	0.0	True	6	3	1.95990813981
HELT	6.33082839261e-06	0.001	0.509651162791	False	6	2	-2.21976119286
LRRC8C	7.09241775861e-06	0.001	0.509651162791	False	6	2	-1.72666478759
CSGALNACT1	7.17970823274e-06	0.001	0.509651162791	False	6	2	-1.65206428248
NonTargetingControlGuideForHuman_0017	8.16920048035e-06	0.001	0.509651162791	False	1	1	11.491294421
CPSF3L	8.26883708423e-06	0.001	0.509651162791	False	6	2	-2.44980567958
COL20A1	1.03072832098e-05	0.001	0.509651162791	False	6	2	-1.59691959496
RNF151	1.48897451719e-05	0.001	0.509651162791	False	6	3	1.08683215121
RPUSD4	1.63384009607e-05	0.001	0.509651162791	False	6	1	0.0
PRAMEF1	1.76313410568e-05	0.001	0.509651162791	False	6	2	0.968106756542
ANKRD16	2.4507601441e-05	0.001	0.509651162791	False	6	1	-2.95412129348
RABEP2	3.10404392107e-05	0.001	0.509651162791	False	6	2	-0.656153856598
SBNO2	3.26768019214e-05	0.001	0.509651162791	False	6	1	0.0
PCDHB1	3.54175259382e-05	0.001	0.509651162791	False	6	2	-0.985416302854
TMEM115	3.54175259382e-05	0.001	0.509651162791	False	6	2	-0.657694245067
TOR1A	3.55497308293e-05	0.001	0.509651162791	False	6	3	0.701642466375
M6PR	3.57488265581e-05	0.001	0.509651162791	False	6	3	2.18076881175
GSX2	3.92087888091e-05	0.001	0.509651162791	False	6	2	0.465189326322
COL5A2	4.02903598271e-05	0.001	0.509651162791	False	6	2	0.465189326322
SAMD8	4.37313429763e-05	0.001	0.509651162791	False	6	2	0.0512327535769
IQSEC3	4.37313429763e-05	0.001	0.509651162791	False	6	2	0.0
ELAC2	4.37313429763e-05	0.001	0.509651162791	False	6	2	0.0
POU2F1	4.37313429763e-05	0.001	0.509651162791	False	6	2	0.0
