gene	p-value Repl. 1	p-value Repl. 2	Fisher Statistic	p-value combined	significant
CPSF3L	0.0	0.0	147.365445952	0.0	True
HBEGF	0.0	0.0	147.365445952	0.0	True
HELT	0.0	0.0	147.365445952	0.0	True
LRRC8C	0.0	0.0	147.365445952	0.0	True
MRI1	0.0	0.0	147.365445952	0.0	True
OGN	0.0	0.0	147.365445952	0.0	True
PIP5K1B	0.0	0.0	147.365445952	0.0	True
XKRX	0.0	0.0	147.365445952	0.0	True
ANKRD16	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
BRPF1	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
CCDC22	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
COL20A1	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
COL5A2	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
CSGALNACT1	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
ELAC2	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
FNTB	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
GPR137	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
GSX2	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
HMGN4	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
M6PR	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
MYEF2	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
NonTargetingControlGuideForHuman_0017	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
PCDHB1	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
POU2F1	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
PRAMEF1	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
PSMC3IP	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
RABEP2	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
RNF151	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
RPUSD4	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
SAMD8	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
SBNO2	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
TMEM115	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
TOR1A	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
TSNAXIP1	0.806237458194	0.0	74.1134769093	3.10862446895e-15	True
IQSEC3	0.875141430948	0.0	73.9494625164	3.33066907388e-15	True
KCNK16	0.875141430948	0.0	73.9494625164	3.33066907388e-15	True
ANK2	0.944874826147	0.0	73.7961286145	3.5527136788e-15	True
TRIM24	0.0	0.979020618557	73.7251281275	3.66373598126e-15	True
ABHD12	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
ABHD14B	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
ADRA2C	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
AJUBA	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
AP1S3	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
ARHGAP9	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
ARHGEF26	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
ARMCX5	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
ATG5	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
BANF2	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
C11orf35	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
C11orf93	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
CADPS	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
CAMK4	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
CNIH1	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
CNOT6L	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
CPD	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
DEFB115	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
DEPDC4	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
DHRS7B	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
DNAH14	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
DOCK6	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
EBF2	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
EIF4A3	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
EPHB4	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
EXOC1	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
FAM183A	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
FRRS1L	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
FTL	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
