sgRNA	gene	ToxB_2	ToxA_1	Control_1	Control_2	ToxA_2	ToxB_1	Variance
HGLibA_56745	ZNF784	36025.6332923	26.9461884616	0.0	139.457329089	15.2898185099	35437.7571634	283033048.308
HGLibA_62457	hsa-mir-590	20029.2410259	8.98206282055	0.0	72.7603456116	15.2898185099	19162.4271072	85184620.2066
HGLibB_02299	AP1S3	14183.9082441	11.9760837607	9.05370658748	45.4752160073	3.05796370197	13971.9473741	43936971.1384
HGLibB_42984	SCP2D1	14178.1634453	8.98206282055	15.0895109791	151.584053358	15.2898185099	13702.9809492	42912525.6863
HGLibB_51676	TRPC5	13738.6863369	8.98206282055	3.01790219583	45.4752160073	3.05796370197	12884.6362944	39349360.3314
HGLibB_00250	ABHD14B	13428.4672015	11.9760837607	69.411750504	57.6019402759	6.11592740394	13099.2371654	38891488.2791
HGLibB_35715	PDE11A	11949.1815098	47.9043350429	6.03580439165	175.837501895	39.7535281256	12049.12357	31640750.3248
HGLibA_02011	ANKRD16	11119.0580828	14.9701047009	3.01790219583	12.1267242686	15.2898185099	10884.5561768	26846848.5756
HGLibA_27301	LRRC29	10590.5365929	14.9701047009	54.3222395249	51.5385781416	12.2318548079	9963.20310399	23351149.3616
HGLibA_39953	RAB44	9341.04285333	8.98206282055	0.0	78.8237077459	3.05796370197	8569.728115	17781969.3496
HGLibA_04839	BRPF1	8904.43814432	5.98804188036	0.0	24.2534485372	0.0	8672.73653308	17139302.9511
HGLibA_18125	FTL	8832.62815928	77.8445444447	3.01790219583	69.7286645445	51.9853829335	8747.13150169	16973224.9945
HGLibA_39135	PSMC3IP	8875.7141503	47.9043350429	0.0	18.1900864029	61.1592740394	8598.34156447	16846966.1121
HGLibB_10274	CNIH1	8680.39099101	8.98206282055	18.107413175	54.5702592087	0.0	8770.02226126	16839489.0249
HGLibA_43842	SGOL1	8780.92497006	2.99402094018	3.01790219583	112.172199485	3.05796370197	8475.30373177	16436435.2559
HGLibB_44178	SIRT6	8628.68780178	8.98206282055	30.1790219583	118.235561619	9.17389110591	8403.7701081	15965260.6468
HGLibA_47689	STYXL1	8309.85146823	104.790732906	12.0716087833	84.8870698802	91.7389110591	8272.14824056	15007522.3142
HGLibA_60293	hsa-mir-4472-1	8473.57823411	2.99402094018	3.01790219583	60.633621343	0.0	7925.92550202	14906084.2732
HGLibB_00899	ADCK5	7899.09835383	95.8086700858	0.0	87.9187509474	119.260584377	7802.88766932	13436457.3227
HGLibB_21699	HMGN4	7833.0331676	14.9701047009	6.03580439165	75.7920266788	3.05796370197	7533.92124434	13042003.6728
HGLibA_03500	ATG5	7715.26479214	11.9760837607	0.0	39.411853873	3.05796370197	7393.71534196	12645410.3201
HGLibB_44908	SLC35B2	5.74479880278	8059.90437097	3.01790219583	6.0633621343	6877.36036573	31.4747944124	12473890.1034
HGLibA_25094	KLHDC10	7287.27728133	44.9103141027	0.0	57.6019402759	79.5070562512	7116.16488214	11383320.2269
HGLibB_43525	SERPINE1	6606.5186232	8.98206282055	0.0	36.3801728058	6.11592740394	6598.26144681	9649420.05244
