gene	aRRA	aRRA p_value	aRRA FDR	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
HBEGF	3.7384688618e-09	0.0	0.0	True	6	4	2.88713174534
PIP5K1B	9.14763526158e-07	0.0	0.0	True	6	3	2.02323222617
MRI1	1.19605808941e-06	0.0	0.0	True	6	3	1.05406405381
HELT	6.06791410394e-06	0.0	0.0	True	6	2	0.550095892065
CYP39A1	6.24381549883e-06	0.0	0.0	True	6	3	0.583225707411
LRRC8C	6.68149462356e-06	0.0	0.0	True	6	2	0.435629194676
CSGALNACT1	7.02081876753e-06	0.0	0.0	True	6	2	0.260741836462
CPSF3L	7.90589799755e-06	0.0	0.0	True	6	2	0.421524169184
RPUSD4	8.1030054047e-06	0.0	0.0	True	6	1	1.05303674384
COL20A1	9.88452281925e-06	0.0	0.0	True	6	2	0.322358305934
RAB15	1.09683357753e-05	0.0	0.0	True	6	3	0.933817231539
RNF151	1.41149629583e-05	0.0	0.0	True	6	3	0.340575850902
ANKRD16	1.62060108094e-05	0.0	0.0	True	6	1	-0.777921808554
PRAMEF1	1.62509377726e-05	0.0	0.0	True	6	2	2.28289170344
SBNO2	2.43090162141e-05	0.0	0.0	True	6	1	0.393845084786
RABEP2	2.96504168403e-05	0.0	0.0	True	6	2	0.665685409575
PCDHB1	3.23107923234e-05	0.0	0.0	True	6	2	1.29383095226
TMEM115	3.23107923234e-05	0.0	0.0	True	6	2	0.503420896773
TOR1A	3.37699559919e-05	0.0	0.0	True	6	3	0.662225150127
M6PR	3.39353076492e-05	0.0	0.0	True	6	3	1.82166134818
GSX2	3.75759632028e-05	0.0	0.0	True	6	2	0.910814396523
COL5A2	3.87270750567e-05	0.0	0.0	True	6	2	0.233281482061
PSMC3IP	4.05150270235e-05	0.0	0.0	True	6	1	1.02349040517
SAMD8	4.17593413972e-05	0.0	0.0	True	6	2	1.06837080017
IQSEC3	4.17593413972e-05	0.0	0.0	True	6	2	0.824799809166
ELAC2	4.17593413972e-05	0.0	0.0	True	6	2	0.461121388602
POU2F1	4.17593413972e-05	0.0	0.0	True	6	2	0.995770163294
XKRX	4.17593413972e-05	0.0	0.0	True	6	2	0.806857542825
TMEM125	4.2138222014e-05	0.0	0.0	True	6	3	1.17353680784
HMGN4	4.51233483023e-05	0.0	0.0	True	6	2	0.0474394732621
MYEF2	4.52322760799e-05	0.0	0.0	True	6	2	0.612568363159
PRSS36	4.53361317503e-05	0.0	0.0	True	6	3	0.990668365947
IQCG	4.75023626162e-05	0.0	0.0	True	6	3	0.138550512142
GPR137	4.86180324282e-05	0.0	0.0	True	6	1	-0.553139874175
FNTB	5.33609704497e-05	0.0	0.0	True	6	2	0.654773563523
CCDC22	5.67210378329e-05	0.0	0.0	True	6	1	-0.280999684201
ANK2	5.86348575211e-05	0.0	0.0	True	6	2	0.648386341233
TSNAXIP1	6.05110547761e-05	0.0	0.0	True	6	2	1.63071044648
OGN	6.3445276268e-05	0.0	0.0	True	6	2	1.20794065422
BRPF1	6.48240432376e-05	0.0	0.0	True	6	1	0.839326238649
KCNK16	6.48731559427e-05	0.0	0.0	True	6	2	0.9653283156
RECQL4	7.29270486423e-05	0.0	0.0	True	6	1	-1.30203890108
PSMD5	7.61594262754e-05	0.0	0.0	True	6	2	0.961560560747
EBF2	7.61594262754e-05	0.0	0.0	True	6	2	1.25787288912
FEZF2	7.61594262754e-05	0.0	0.0	True	6	2	0.336638660467
GALNT16	7.61594262754e-05	0.0	0.0	True	6	2	-0.738693902102
HAUS2	7.61594262754e-05	0.0	0.0	True	6	2	-0.31574752048
C1orf123	7.61594262754e-05	0.0	0.0	True	6	2	0.668492186903
ABHD12	8.1030054047e-05	0.0	0.0	True	6	1	0.706901717126
TRPC5	8.91330594518e-05	0.0	0.0	True	6	1	0.763906689922
MRAP	9.18886236302e-05	0.0	0.0	True	6	2	1.2507945681
PIH1D2	9.18886236302e-05	0.0	0.0	True	6	2	-0.25006438619
SLC10A6	9.56548064665e-05	0.0	0.0	True	6	2	0.711679197786
HCRTR1	0.000105339070261	0.0	0.0	True	6	1	0.875640349372
SULF2	0.000112676889216	0.0	0.0	True	6	2	-0.237993234908
CPD	0.000112676889216	0.0	0.0	True	6	2	-0.267128998185
LRIG1	0.000112676889216	0.0	0.0	True	6	2	1.50867046418
LPGAT1	0.000112676889216	0.0	0.0	True	6	2	-0.357110903097
TJP3	0.000112676889216	0.0	0.0	True	6	2	1.19233431959
OTUD6A	0.000112676889216	0.0	0.0	True	6	2	-0.0241482495038
OPRL1	0.000112676889216	0.0	0.0	True	6	2	0.365994005205
SESN3	0.000112676889216	0.0	0.0	True	6	2	-0.472782809191
CADPS	0.000112676889216	0.0	0.0	True	6	2	-0.307787796253
PGC	0.000112676889216	0.0	0.0	True	6	2	0.839140866449
SHROOM4	0.000112676889216	0.0	0.0	True	6	2	0.67367898615
hsa-mir-590	0.000113442075666	0.0	0.0	True	3	1	2.21156301696
ST3GAL6	0.000121545081071	0.001	0.270555555556	False	6	1	-0.262154663191
RAB18	0.000129648086475	0.001	0.270555555556	False	6	1	0.207071245156
RP1	0.000131370593136	0.001	0.270555555556	False	6	2	-0.0691948329049
PIAS3	0.000136433666548	0.001	0.270555555556	False	6	2	-0.00457385260523
HNRNPH3	0.000136433666548	0.001	0.270555555556	False	6	2	-0.502651132662
C11orf93	0.000136433666548	0.001	0.270555555556	False	6	2	-0.109150515828
AP1S3	0.00013775109188	0.001	0.270555555556	False	6	1	-0.184830931735
SLC4A4	0.000143042460579	0.001	0.270555555556	False	6	2	0.31076574072
SLC35G6	0.000143818809008	0.001	0.270555555556	False	6	2	-0.0252225722194
GLB1	0.000153957102689	0.001	0.270555555556	False	6	1	-0.332020186458
OC90	0.000154605892685	0.001	0.270555555556	False	6	2	0.852508820679
TMEM48	0.000154605892685	0.001	0.270555555556	False	6	2	1.58601628328
TDRD9	0.000162060108094	0.001	0.270555555556	False	6	1	-2.4252785544
USP17L4	0.000170163113499	0.001	0.270555555556	False	6	1	1.19514271501
MGMT	0.000178266118904	0.001	0.270555555556	False	6	1	-1.29567403718
KCMF1	0.000192779333612	0.003	0.620235849057	False	6	2	0.715605483387
LAX1	0.000192779333612	0.003	0.620235849057	False	6	2	0.930441636484
DARC	0.000192779333612	0.003	0.620235849057	False	6	2	-0.120041555345
PPP1R3A	0.000192779333612	0.003	0.620235849057	False	6	2	-0.926931269388
PSD4	0.000192779333612	0.003	0.620235849057	False	6	2	1.01706397882
RNASE3	0.000192779333612	0.003	0.620235849057	False	6	2	-0.574853841605
KANSL3	0.000192779333612	0.003	0.620235849057	False	6	2	0.258590056318
S100A2	0.000192779333612	0.003	0.620235849057	False	6	2	-0.225147129094
FAM89B	0.000192779333612	0.003	0.620235849057	False	6	2	0.0161630393101
SSTR5	0.000192779333612	0.003	0.620235849057	False	6	2	-1.86945599985
CNTNAP5	0.000192779333612	0.003	0.620235849057	False	6	2	0.36568087883
MTL5	0.000192779333612	0.003	0.620235849057	False	6	2	-0.800199366744
CSRP2	0.000192779333612	0.003	0.620235849057	False	6	2	-0.200326237203
CCDC96	0.000192779333612	0.003	0.620235849057	False	6	2	-0.414952334828
KIAA1107	0.000192779333612	0.003	0.620235849057	False	6	2	-0.129495494229
CDK5R2	0.000192779333612	0.003	0.620235849057	False	6	2	-0.292492656843
C15orf54	0.000192779333612	0.003	0.620235849057	False	6	2	-0.109677848007
HOXC11	0.000192779333612	0.003	0.620235849057	False	6	2	0.198677024825
AKAP12	0.000199118475547	0.003	0.620235849057	False	6	2	0.102103801046
KIAA1045	0.000202575135118	0.003	0.620235849057	False	6	1	-0.299861220425
